KOL ID,Serial Number,Project_Type,Project_Data_Point,Project_Data Point_Expl,Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,4881,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Neel,Benjamin G,Neel B,Benjamin G Neel,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Award for Lifetime Achievement in Cancer Research Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4884,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Neilson,Joel R,Neilson J,Joel R Neilson,Houston,USA,(Blank),(Blank),Baylor College of Medicine,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/rna-mechanisms-cancer.html,American Cancer Society,Peer Review Committee for RNA Mechanisms in Cancer ,Vice-Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4885,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Nekhlyudov,Larissa,Nekhlyudov L,Larissa Nekhlyudov,Boston,USA,(Blank),(Blank),Harvard Medical School,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/primary-care-physician-awards.html,American Cancer Society,Peer Review Committee on Primary Care Physician Awards ,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4891,CLINICAL,ASSOCIATION,ASSOCIATION_Association of Community Cancer Centers,,Nelson,Krista,Nelson K,Krista Nelson,Portland,USA,Compassion with Providence Health & Services,Clinical Manager,Providence Cancer Center,(Blank),(Blank),https://www.accc-cancer.org/about/BoardofTrustees.asp,Association of Community Cancer Centers,Board of Trustees,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4894,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Nelson,Scott,Nelson S,Scott Nelson,Ames,USA,(Blank),(Blank),Iowa State University,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/dna-mechanisms-cancer.html,American Cancer Society,Peer Review Committee for DNA Mechanisms in Cancer ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4898,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Nelson,William G,Nelson W,William G Nelson,(Blank),USA,(Blank),(Blank),University of Tennessee Medical Center,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/cancer-prevention-committee.aspx#.WQCdK9J97IU,American Association of Cancer Research,Standing Committee - Cancer Prevention Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4899,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Nelson,William G,Nelson W,William G Nelson,(Blank),USA,(Blank),(Blank),University of Tennessee Medical Center,(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#Janssen,American Association of Cancer Research,Scientific Review Committee - Janssen Fellowship in Cancer Interception Research Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4906,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),http://quality.asco.org/about/committees,American Society of Clinical Oncology,Quality Care Symposium Planning Committee,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4907,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),http://www.instituteforquality.org/qcp/leadership,American Society of Clinical Oncology,"Institute for Quality, Quality Oncology Practice Initiative Oversight Council",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4908,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),http://www.instituteforquality.org/qopi/leadership,American Society of Clinical Oncology,"Institute for Quality, Quality Oncology Practice Initiative Steering Group",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4909,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),http://www.instituteforquality.org/qopi/leadership,American Society of Clinical Oncology,"Institute for Quality, Original Quality Oncology Practice Initiative Alpha Group",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4910,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),http://www.instituteforquality.org/qopi/leadership,American Society of Clinical Oncology,"Institute for Quality, Original Measures Work Group",Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4911,CLINICAL,ASSOCIATION,ASSOCIATION_National Comprehensive Cancer Network,,Neuss,Michael N,Neuss M,Michael N Neuss,Nashville,USA,(Blank),(Blank),Vanderbilt Ingram Cancer Center,(Blank),(Blank),https://www.nccn.org/about/leadership.aspx,National Comprehensive Cancer Network,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4913,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Newcomer,Lee Nisley,Newcomer L,Lee Nisley Newcomer,Minneapolis,USA,(Blank),(Blank),UnitedHealthcare,(Blank),(Blank),http://www.asco.org/sites/www.asco.org/files/asco_value_in_cancer_care_task_force.pdf,American Society of Clinical Oncology,Value in Cancer Care Task Force,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4921,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Newman,Lisa A,Newman L,Lisa A Newman,Detroit,USA,Director,Breast Oncology Program,Henry Ford Health System,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/standing-committees___35BC28.aspx#SpecialConferencesCommittee,American Association of Cancer Research,​​Standing Committee - Special Conferences Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4922,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Newman,Lisa A,Newman L,Lisa A Newman,Detroit,USA,Director,Breast Oncology Program,Henry Ford Health System,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Distinguished Lectureship on the Science of Cancer Health Disparities Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4933,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Nichols,Craig R,Nichols C,Craig R Nichols,(Blank),USA,Physician,(Blank),Intermountain Healthcare,(Blank),(Blank),https://www.asco.org/about-asco/asco-overview/leadership/board-of-directors,American Society of Clinical Oncology,Board of Directors,Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4934,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,Nichols,Craig R,Nichols C,Craig R Nichols,(Blank),USA,Physician,(Blank),Intermountain Healthcare,(Blank),(Blank),https://www.swog.org/Visitors/leadership.asp,Southwest Oncology Group,"Digital Engagement, Adolescent and Young Adult Oncology, Patient Advocacy",Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4942,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Nishimura,Susumu,Nishimura S,Susumu Nishimura,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Princess Takamatsu Memorial Lectureship Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4943,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Nixon,Andrew,Nixon A,Andrew Nixon,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://am.asco.org/about/committees,American Society of Clinical Oncology,Scientific Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4947,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Noda,Tetsuo,Noda T,Tetsuo Noda,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/standing-committees___35BC28.aspx#InternationalAffairsCommittee,American Association of Cancer Research,​​Standing Committee - International Affairs Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4949,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Noll,Kay,Noll K,Kay Noll,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://www.asco.org/about-asco/asco-overview/leadership/senior-leadership,American Society of Clinical Oncology,Human Resources,Vice President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4966,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Notario,Vicente,Notario V,Vicente Notario,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#basic,American Association of Cancer Research,Scientific Review Committee - Basic Cancer Research Fellowships Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4968,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Novelli                                                                               ,William D,Novelli                                                                                W,William D Novelli                                                                               ,(Blank),USA,Professor,(Blank),McDonough School of Business at Georgetown University,(Blank),(Blank),https://www.cancer.org/about-us/financial-governance-information/board-of-directors.html,American Cancer Society,Board of Directors,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4971,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Nunez,Nomeli,Nunez N,Nomeli Nunez,Atlanta,USA,(Blank),(Blank),Georgia State University,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/tumor-biology-genomics-research.html,American Cancer Society,"Peer Review Committee for Nutrition, the Environment and Cancer",Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4973,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Nunnink,J Chris,Nunnink J,J Chris Nunnink,(Blank),USA,(Blank),(Blank),University of Vermont Medical Center,(Blank),(Blank),https://www.asco.org/about-asco/asco-overview/leadership/board-of-directors,American Society of Clinical Oncology,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4977,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,O’Dell,Walter,O’Dell W,Walter O’Dell,Gainesville,USA,(Blank),(Blank),University of Florida,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/cancer-research-epidemiology.html,American Cancer Society,Peer Review Committee for Clinical Cancer Research and Epidemiology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4980,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,O’Leary,Pat,O’Leary P,Pat O’Leary,Center Point,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/peer-review-committee-institutional-research-grants.html,American Cancer Society,Peer Review Committee for Institutional Research Grants ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4983,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,O’Riordan,Mary,O’Riordan M,Mary O’Riordan,Ann Arbor,USA,(Blank),(Blank),University of Michigan,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/microbial-pathogenesis-cancer.html,American Cancer Society,Peer Review Committee for Microbial Pathogenesis and Cancer,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4986,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Oakley,Greg,Oakley G,Greg Oakley,Lincoln,USA,(Blank),(Blank),"University of Nebraska, Lincoln",(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/cell-cycle-growth-control.html,American Cancer Society,Peer Review Committee for Cell Cycle Growth Control,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4987,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Obasaju,Coleman K,Obasaju C,Coleman K Obasaju,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Minorities in Cancer Research Jane Cooke Wright Memorial Lectureship Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4988,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,O'Brien,Patrick J,O'Brien P,Patrick J O'Brien,Ann Arbor,USA,(Blank),(Blank),University of Michigan,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/dna-mechanisms-cancer.html,American Cancer Society,Peer Review Committee for DNA Mechanisms in Cancer ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4989,CLINICAL,ASSOCIATION,ASSOCIATION_National Comprehensive Cancer Network,,O'Brien,Patrick J,O'Brien P,Patrick J O'Brien,Ann Arbor,USA,(Blank),(Blank),University of Michigan,(Blank),(Blank),https://www.nccn.org/about/leadership.aspx,National Comprehensive Cancer Network,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4990,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,O'Brien,Susan M,O'Brien S,Susan M O'Brien,(Blank),USA,(Blank),(Blank),"University of California, Irvine Medical Center",(Blank),(Blank),https://www.swog.org/Visitors/leadership.asp,Southwest Oncology Group,"Leukemia, Lymphoma, and Myeloma Research",Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4991,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,O'Brien,Susan M,O'Brien S,Susan M O'Brien,(Blank),USA,(Blank),(Blank),"University of California, Irvine Medical Center",(Blank),(Blank),http://www.swog.org/visitors/leadership.asp,Southwest Oncology Group,Leukemia Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4992,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,O'Brien,Susan M,O'Brien S,Susan M O'Brien,(Blank),USA,(Blank),(Blank),"University of California, Irvine Medical Center",(Blank),(Blank),http://www.swog.org/visitors/leadership.asp,Southwest Oncology Group,Study S0805,Co-Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4993,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Ochs,Matthew,Ochs M,Matthew Ochs,Speedway,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/cancer-research-epidemiology.html,American Cancer Society,Peer Review Committee for Clinical Cancer Research and Epidemiology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4994,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Odedina,Folakemi T,Odedina F,Folakemi T Odedina,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Distinguished Lectureship on the Science of Cancer Health Disparities Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5003,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Oesterreich,Steffi,Oesterreich S,Steffi Oesterreich,Pittsburgh,USA,(Blank),(Blank),University of Pittsburgh,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/standing-committees___35BC28.aspx#InternationalAffairsCommittee,American Association of Cancer Research,Standing Committee - Publications Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5008,CLINICAL,ASSOCIATION,ASSOCIATION_ECOG-ACRIN Cancer Research Group,,Oettel,Kurt R,Oettel K,Kurt R Oettel,(Blank),USA,(Blank),(Blank),Gundersen Lutheran Health System,(Blank),(Blank),http://ecog-acrin.org/about-us/governance/executive-committee,ECOG-ACRIN Cancer Research Group,Executive Committee,Elected Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5009,CLINICAL,ASSOCIATION,ASSOCIATION_ECOG-ACRIN Cancer Research Group,,Oettel,Kurt R,Oettel K,Kurt R Oettel,(Blank),USA,(Blank),(Blank),Gundersen Lutheran Health System,(Blank),(Blank),http://ecog-acrin.org/about-us/governance/principal-investigator-committee,ECOG-ACRIN Cancer Research Group,Principal Investigator Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5010,CLINICAL,ASSOCIATION,ASSOCIATION_ECOG-ACRIN Cancer Research Group,,Oettel,Kurt R,Oettel K,Kurt R Oettel,(Blank),USA,(Blank),(Blank),Gundersen Lutheran Health System,(Blank),(Blank),http://ecog-acrin.org/about-us/governance/principal-investigator-committee,ECOG-ACRIN Cancer Research Group,Nominating Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5022,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,O'Kane,Patricia,O'Kane P,Patricia O'Kane,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://www.swog.org/Visitors/StaffDirectory.asp,Southwest Oncology Group,Cancer Care Delivery; Prevention & Epidemiology,Protocol Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5035,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Olopade,Olufunmilayo (Funmi) I,Olopade O,Olufunmilayo (Funmi) I Olopade,Chicago,USA,Walter L. Palmer Distinguished Service Professor,Department of Medicine and Human Genetics,University of Chicago Medical Center,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/standing-committees___35BC28.aspx#InternationalAffairsCommittee,American Association of Cancer Research,​​Standing Committee - International Affairs Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5036,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Olopade,Olufunmilayo (Funmi) I,Olopade O,Olufunmilayo (Funmi) I Olopade,Chicago,USA,Walter L. Palmer Distinguished Service Professor,Department of Medicine and Human Genetics,University of Chicago Medical Center,(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Team Science Award Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5038,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Olszewski,Adam J,Olszewski A,Adam J Olszewski,Pawtucket,USA,(Blank),(Blank),Memorial Hospital of Rhode Island,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/health-policy-services-research-1.html,American Cancer Society,Peer Review Committee for Cancer Control and Prevention: Health Policy and Health Services Research,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5042,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Ondrey,Frank G,Ondrey F,Frank G Ondrey,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/PAGES/GOVERNANCE/RESEARCH-FUNDING-AND-MENTORED-GRANT-COMMITTEES.ASPX#Elion,American Association of Cancer Research,Scientific Review Committee - Gertrude B. Elion Cancer Research Grant Scientific Review Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5045,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,O'Neill,Suzanne,O'Neill S,Suzanne O'Neill,Washington,USA,(Blank),(Blank),Georgetown University,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/psychosocial-behavioral-cancer-research.html,American Cancer Society,Peer Review Committee for Cancer Control and Prevention: Psychosocial and Behavioral Aspects of Cancer Research ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5051,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,O'Regan,Ruth M,O'Regan R,Ruth M O'Regan,(Blank),USA,(Blank),(Blank),University of Wisconsin Carbone Cancer Center,(Blank),(Blank),https://am.asco.org/about/committees,American Society of Clinical Oncology,Scientific Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5059,CLINICAL,ASSOCIATION,ASSOCIATION_National Comprehensive Cancer Network,,O'Regan,Ruth M,O'Regan R,Ruth M O'Regan,(Blank),USA,(Blank),(Blank),University of Wisconsin Carbone Cancer Center,(Blank),(Blank),https://www.nccn.org/about/leadership.aspx,National Comprehensive Cancer Network,Board of Directors,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5132,CLINICAL,ASSOCIATION,ASSOCIATION_Southwest Oncology Group,,Othus,Megan,Othus M,Megan Othus,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://www.swog.org/Visitors/StaffDirectory.asp,Southwest Oncology Group,Early Therapeutics & Rare Cancers Leukemia and Melanoma Committees,Faculty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5135,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Otis-Green,Shirley,Otis-Green S,Shirley Otis-Green,Toluca Lake,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/oncology-social-work.html,American Cancer Society,Peer Review Committee on Oncology Social Work Training ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5136,CLINICAL,ASSOCIATION,ASSOCIATION_Association of Community Cancer Centers,,Otte,Diane,Otte D,Diane Otte,(Blank),USA,(Blank),(Blank),University of Wisconsin School of Medicine and Public Health,(Blank),(Blank),https://www.accc-cancer.org/about/Volunteers.asp,Association of Community Cancer Centers,Bylaws Committee,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5144,CLINICAL,ASSOCIATION,ASSOCIATION_Association of Community Cancer Centers,,Oyer,Randall A,Oyer R,Randall A Oyer,Lancaster,USA,Oncology Program,Medical Director,Lancaster General Hospital,(Blank),(Blank),https://www.accc-cancer.org/about/BoardofTrustees.asp,Association of Community Cancer Centers,Executive Committee,"Treasurer
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5157,CLINICAL,ASSOCIATION,ASSOCIATION_American Society of Clinical Oncology,,Pal,Sumanta Kumar,Pal S,Sumanta Kumar Pal,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://am.asco.org/about/committees,American Society of Clinical Oncology,Cancer Communications Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5163,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Palmer,Steven,Palmer S,Steven Palmer,Philadelphia,USA,(Blank),(Blank),University of Pennsylvania,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/psychosocial-behavioral-cancer-research.html,American Cancer Society,Peer Review Committee for Cancer Control and Prevention: Psychosocial and Behavioral Aspects of Cancer Research ,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5168,CLINICAL,ASSOCIATION,ASSOCIATION_American Cancer Society,,Pandharipande,Pari,Pandharipande P,Pari Pandharipande,Boston,USA,(Blank),(Blank),Massachusetts General Hospital,(Blank),(Blank),https://www.cancer.org/research/we-fund-cancer-research/apply-research-grant/peer-review-committees/health-policy-services-research-1.html,American Cancer Society,Peer Review Committee for Cancer Control and Prevention: Health Policy and Health Services Research,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5169,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Pandolfi,Pier Paolo,Pandolfi P,Pier Paolo Pandolfi,Boston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Clinical and Translational Cancer Research Award Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5173,CLINICAL,ASSOCIATION,ASSOCIATION_Association of Community Cancer Centers,,Pang,Laeton,Pang L,Laeton Pang,Honolulu,USA,(Blank),Radiation Oncologist,"Pacific Radiation Oncology, LLC",(Blank),(Blank),https://www.accc-cancer.org/about/BoardofTrustees.asp,Association of Community Cancer Centers,Board of Trustees,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5174,CLINICAL,ASSOCIATION,ASSOCIATION_Association of Community Cancer Centers,,Pang,Laeton,Pang L,Laeton Pang,Honolulu,USA,(Blank),Radiation Oncologist,"Pacific Radiation Oncology, LLC",(Blank),(Blank),https://www.accc-cancer.org/about/Volunteers.asp,Association of Community Cancer Centers,Radiation Oncology,Liaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5178,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Pao,William,Pao W,William Pao,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/annual-meeting-committees___35BC28.aspx#EducationCommittee,American Association of Cancer Research,Annual Meeting Program Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5179,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Pao,William,Pao W,William Pao,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/standing-committees___35BC28.aspx#InternationalAffairsCommittee,American Association of Cancer Research,Standing Committee - Publications Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5180,CLINICAL,ASSOCIATION,ASSOCIATION_American Association of Cancer Research,,Pao,William,Pao W,William Pao,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.aacr.org/AboutUs/Pages/Governance/scientific-achievement-awards-committees___35BC28.aspx#.WQF1DtJ97IU,American Association of Cancer Research,Scientific Achievement Awards Committee - Team Science Award Committee,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
